Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Maudie,89.0,89.0,PG-13,biography,AislingWalsh,2017-06-16,2017-10-03,115.0
Heartstone (Hjartasteinn),84.0,77.0,NR,drama,GuðmundurArnarGuðmundsson,,2017-10-10,129.0
Fallen,7.0,66.0,PG-13,fantasy,ScottHicks,2017-09-08,2017-08-08,87.0
The Beguiled,79.0,48.0,R,history,SofiaCoppola,2017-06-30,2018-10-30,94.0
Menashe,96.0,65.0,PG,comedy,JoshuaZWeinstein,2017-07-28,2017-10-10,82.0
A Ghost Story,91.0,66.0,R,fantasy,DavidLowery,2017-07-07,2017-07-10,90.0
78/52: Hitchcock's Shower Scene,88.0,80.0,NR,documentary,AlexandreO.Philippe,2017-10-13,2017-10-13,91.0
Wish Upon,19.0,30.0,PG-13,horror,JohnR.Leonetti,2017-07-14,2017-10-10,89.0
The Wizard Of Lies,75.0,63.0,TVMA,crime,BarryLevinson,,2017-05-23,133.0
Super Dark Times,90.0,72.0,NR,mysteryandthriller,KevinPhillips,2017-09-29,2017-10-03,102.0
Churchill,49.0,55.0,PG,biography,JonathanTeplitzky,2017-06-02,2017-10-03,105.0
Wasted! The Story Of Food Waste,100.0,74.0,NR,documentary,"AnnaChai,NariKye",2017-10-13,2017-10-13,85.0
The Death And Life Of Marsha P. Johnson,96.0,71.0,NR,documentary,DavidFrance,,2017-10-06,105.0
Pilgrimage,69.0,40.0,NR,adventure,BrendanMuldowney,2017-08-11,2017-08-11,96.0
Open Water 3: Cage Dive,25.0,14.0,R,horror,GeraldRascionato,2017-08-11,2017-08-11,80.0
Cold Moon,70.0,34.0,NR,crime,GriffFurst,,2017-10-06,92.0
Bad Blood: The Movie,100.0,79.0,NR,horror,TimReis,2017-10-13,2017-10-13,80.0
Kingdom Of Us,100.0,82.0,NR,drama,LucyCohen,,2017-10-13,109.0
Love With The Proper Stranger,80.0,87.0,NR,drama,RobertMulligan,,2015-07-01,102.0
47 Meters Down,53.0,36.0,PG-13,horror,JohannesRoberts,2017-06-16,2017-09-12,89.0
Wonder Woman,93.0,86.0,PG-13,adventure,PattyJenkins,2017-06-02,2017-07-10,141.0
First They Killed My Father,87.0,80.0,NR,biography,AngelinaJolie,,2017-09-15,136.0
Queen Of The Desert,18.0,34.0,PG-13,biography,WernerHerzog,2017-04-14,2017-05-06,128.0
The Devil's Candy,92.0,64.0,NR,horror,SeanByrne,2017-03-17,2017-03-17,80.0
The Treasure,95.0,42.0,NR,comedy,CorneliuPorumboiu,2016-01-08,2016-06-10,89.0
Certain Women,91.0,51.0,R,drama,KellyReichardt,2016-10-14,2017-07-12,107.0
Transformers: The Last Knight,15.0,43.0,PG-13,adventure,MichaelBay,2017-06-21,2017-07-10,148.0
The Bad Batch,47.0,30.0,R,horror,AnaLilyAmirpour,2017-06-23,2017-06-27,118.0
Our Souls At Night,88.0,75.0,TV14,drama,RiteshBatra,,2017-09-30,103.0
SEED: The Untold Story,93.0,84.0,NR,documentary,"TaggartSiegel,JonBetz",2016-09-23,2017-04-08,94.0
Jesus,79.0,60.0,NR,drama,FernandoGuzzoni,,2017-09-19,85.0
It Stains The Sands Red,67.0,38.0,NR,horror,ColinMinihan,,2017-07-28,92.0
The Big Sick,98.0,88.0,R,romance,MichaelShowalter,2017-07-14,2017-07-10,120.0
The Little Hours,78.0,49.0,R,comedy,JeffBaena,2017-06-30,2017-09-22,90.0
The Hero,78.0,59.0,R,drama,BrettHaley,2017-06-09,2017-09-12,96.0
Manifesto,75.0,54.0,NR,drama,JulianRosefeldt,2017-05-10,2017-08-11,95.0
Easy Living,78.0,76.0,NR,drama,AdamKeleman,2017-09-15,2017-09-19,80.0
Sharknado 5: Global Swarming,30.0,38.0,TV14,mysteryandthriller,AnthonyC.Ferrante,,2017-08-07,90.0
Copwatch,60.0,87.0,NR,documentary,CamillaHall,,2017-10-07,95.0
Last Rampage,64.0,49.0,R,crime,DwightH.Little,2017-09-22,2017-09-22,93.0
Footnotes (Sur Quel Pied Danser),65.0,,NR,musical,"PaulCalori,KostiaTestut",2017-07-14,2017-09-20,85.0
Crash Pad,54.0,53.0,R,romance,KevinTent,2017-10-27,2019-03-01,93.0
Cult Of Chucky,79.0,46.0,R,horror,DonMancini,,2017-10-03,90.0
Jackals,44.0,21.0,NR,mysteryandthriller,KevinGreutert,2017-09-01,2017-09-01,85.0
Don't Sleep,9.0,21.0,NR,horror,RickBieber,2017-09-29,2017-09-29,95.0
Haunters: The Art Of The Scare,100.0,81.0,NR,horror,JonSchnitzer,,2017-10-03,88.0
Gerald's Game,91.0,71.0,TVMA,horror,MikeFlanagan,,2017-09-29,103.0
Gaga: Five Foot Two,73.0,80.0,NR,documentary,ChrisMoukarbel,,2017-09-23,100.0
The Legend Of 420,83.0,94.0,NR,documentary,PeterSpirer,2017-10-06,2019-06-20,87.0
Maurice,89.0,87.0,R,drama,JamesIvory,,2017-09-05,140.0
The Mummy,16.0,35.0,PG-13,adventure,AlexKurtzman,2017-06-09,2017-07-10,107.0
Captain Underpants: The First Epic Movie (Captain Underpants),87.0,61.0,PG,adventure,DavidSoren,2017-06-02,2017-07-10,89.0
Goon: Last Of The Enforcers,43.0,41.0,R,comedy,JayBaruchel,2017-09-01,2017-09-01,101.0
The Last Face,8.0,33.0,R,drama,SeanPenn,2017-07-28,2017-07-28,131.0
The Music Of Strangers: Yo-Yo Ma And The Silk Road Ensemble,84.0,84.0,PG-13,music,MorganNeville,2016-06-10,2016-12-06,96.0
One Week And A Day (Shavua Ve Yom),90.0,78.0,NR,drama,AsaphPolonsky,2017-04-28,2017-08-01,98.0
Rough Night,45.0,29.0,R,comedy,LuciaAniello,2017-06-16,2017-07-10,96.0
Man In Red Bandana,63.0,94.0,PG-13,documentary,MatthewJ.Weiss,2017-09-08,2017-09-08,85.0
Raw,92.0,76.0,R,horror,JuliaDucournau,2017-03-10,2017-05-22,98.0
The Wedding Plan,86.0,65.0,PG,romance,RamaBurshtein,2017-05-12,2017-07-10,110.0
Soul On A String,89.0,33.0,NR,drama,YangZhang,,2017-07-01,142.0
Paris Can Wait (Bonjour Anne),47.0,39.0,PG,romance,EleanorCoppola,2017-05-12,2017-07-10,92.0
All Eyez On Me,18.0,53.0,R,biography,BennyBoom,2017-06-16,2017-07-10,140.0
Citizen Jane: Battle For The City,95.0,67.0,NR,documentary,MattTyrnauer,2017-04-21,2017-09-12,92.0
A Dark Song,92.0,60.0,NR,horror,LiamGavin,,2017-04-28,100.0
SCORE: A Film Music Documentary,91.0,83.0,NR,music,MattSchrader,2017-06-16,2017-09-01,94.0
Unlocked,26.0,42.0,R,action,MichaelApted,2017-09-01,2017-09-01,98.0
Buena Vista Social Club: Adios,70.0,73.0,PG,music,LucyWalker,2017-05-26,2017-07-10,110.0
Megan Leavey,87.0,82.0,PG-13,biography,GabrielaCowperthwaite,2017-06-09,2017-07-10,116.0
Band Aid,87.0,73.0,R,drama,ZoeListerJones,2017-06-02,2017-08-29,94.0
It Comes At Night,87.0,44.0,R,horror,TreyEdwardShults,2017-06-09,2017-07-10,97.0
The Good Catholic,46.0,81.0,PG-13,drama,PaulShoulberg,2017-09-08,2017-09-08,96.0
Anti Matter,88.0,78.0,NR,scifi,KeirBurrows,,2017-09-08,109.0
Gun Shy,0.0,37.0,R,action,SimonWest,2017-09-08,2017-09-08,86.0
The Vault,25.0,26.0,NR,horror,DanBush,2017-09-01,2017-09-01,91.0
A Boy Called Po,31.0,80.0,PG,drama,JohnAsher,2017-09-01,2017-09-01,94.0
Clowntergeist,17.0,29.0,NR,horror,AaronMirtes,,2017-09-12,80.0
The Atoning,60.0,45.0,NR,horror,MichaelWilliams,,2017-09-01,89.0
We The Parents,67.0,,NR,drama,JamesTakata,,2017-08-05,62.0
Alien: Covenant,65.0,55.0,R,scifi,RidleyScott,2017-05-19,2017-07-10,122.0
Guardians Of The Galaxy Vol. 2,85.0,87.0,PG-13,action,JamesGunn,2017-05-05,2017-07-10,135.0
Blood Ransom,20.0,81.0,NR,mysteryandthriller,FrancisdelaTorre,2014-10-31,2017-08-22,101.0
London's Finest (Hackney's Finest),40.0,33.0,NR,action,ChrisBouchard,,2017-08-30,89.0
Demon,92.0,56.0,R,horror,MarcinWrona,2016-09-09,2016-12-06,94.0
Kiki,82.0,52.0,NR,documentary,SaraJordenö,2017-02-24,2017-04-09,95.0
Baywatch,17.0,55.0,R,action,SethGordon,2017-05-25,2017-07-10,116.0
Eva Hesse,80.0,64.0,NR,biography,MarcieBegleiter,2016-04-27,2017-08-20,105.0
The Incomparable Rose Hartman,75.0,,NR,documentary,OtisMass,2017-06-02,2017-08-30,71.0
Betting On Zero,100.0,79.0,NR,documentary,TedBraun,2017-03-10,2017-04-08,99.0
After The Storm (Umi Yori Mo Mada Fukaku),96.0,80.0,NR,drama,HirokazuKoreeda,2017-03-17,2017-07-11,117.0
My Cousin Rachel,76.0,45.0,PG-13,drama,RogerMichell,2017-06-09,2017-07-10,106.0
How To Be A Latin Lover,39.0,61.0,PG-13,comedy,KenMarino,2017-04-28,2017-07-10,115.0
Heal The Living (Réparer Les Vivants),92.0,67.0,NR,drama,KatellQuillévéré,2017-04-14,2017-08-29,103.0
The Wall,65.0,42.0,R,mysteryandthriller,DougLiman,2017-05-12,2017-07-10,90.0
"Everything, Everything",45.0,61.0,PG-13,drama,StellaMeghie,2017-05-19,2017-07-10,96.0
The Case For Christ,59.0,87.0,PG,biography,JonGunn,2017-04-07,2017-07-10,112.0
The Queen Of Spain (La Reina De España),31.0,35.0,NR,comedy,FernandoTrueba,,2017-08-29,128.0
Once Upon A Time In Venice,21.0,27.0,NR,action,MarkCullen,2017-06-16,2017-06-16,94.0
Death Note,38.0,24.0,TVMA,horror,AdamWingard,,2017-08-25,101.0
Inconceivable,31.0,62.0,R,mysteryandthriller,JonathanBaker,2017-06-30,2017-06-30,105.0
Kill Switch,9.0,20.0,R,scifi,TimSmit,2017-06-16,2017-08-22,91.0
Batman And Harley Quinn,45.0,38.0,PG-13,adventure,SamLiu,,2017-07-10,76.0
Hickok,57.0,18.0,NR,action,TimothyWoodwardJr.,2017-07-07,2017-07-07,88.0
Blind,19.0,42.0,R,drama,MichaelMailer,2017-07-14,2019-04-01,106.0
The Ice Cream Truck,72.0,36.0,NR,horror,MeganFreelsJohnston,2017-08-18,2017-08-18,96.0
Unleashed,75.0,72.0,NR,fantasy,FinnTaylor,2017-08-25,2017-08-25,96.0
What Happened To Monday,58.0,67.0,NR,scifi,TommyWirkola,,2019-02-08,123.0
The Monster Project,50.0,45.0,NR,horror,VictorMathieu,2017-08-18,2017-08-19,95.0
Descendants 2,71.0,70.0,TVG,action,KennyOrtega,,2017-07-23,111.0
Little Evil,92.0,47.0,TVMA,horror,EliCraig,,2017-09-01,94.0
The Breaking Point,100.0,86.0,NR,drama,MichaelCurtiz,,2016-08-25,97.0
Arctic Tale,61.0,61.0,G,documentary,"AdamRavetch,SarahRobertson",2007-08-17,2016-04-19,96.0
The Sea,52.0,39.0,NR,drama,StephenBrown,,2017-07-07,86.0
Notes On Blindness,95.0,70.0,NR,documentary,"PeterMiddleton,JamesSpinney",2016-11-16,2017-04-13,90.0
Sin Alas,64.0,100.0,NR,drama,BenChace,,2017-01-25,90.0
Colossal,81.0,59.0,R,fantasy,NachoVigalondo,2017-04-07,2017-07-10,110.0
Snatched,36.0,29.0,R,action,JonathanLevine,2017-05-12,2017-07-10,90.0
The Legend Of Ben Hall,50.0,76.0,NR,action,MatthewHolmes,,2017-08-01,139.0
The Dinner,46.0,16.0,R,mysteryandthriller,OrenMoverman,2017-05-05,2017-08-01,120.0
Sleight,78.0,52.0,R,mysteryandthriller,J.D.Dillard,2017-04-28,2017-07-10,90.0
Wolves,33.0,45.0,R,drama,BartFreundlich,2017-03-03,2017-03-03,110.0
11:55,100.0,79.0,NR,crime,"AriIssler,BenSnyder",2017-06-09,2017-06-09,80.0
King Arthur: Legend Of The Sword,30.0,69.0,PG-13,action,GuyRitchie,2017-05-12,2017-06-20,126.0
Diary Of A Wimpy Kid: The Long Haul,18.0,32.0,PG,adventure,DavidBowers,2017-05-19,2017-07-10,91.0
The Exception (The Kaiser's Last Kiss),73.0,67.0,R,history,DavidLeveaux,2017-06-02,2017-05-30,107.0
Brave New Jersey,47.0,37.0,NR,comedy,JodyLambert,2017-08-04,2017-08-04,91.0
The Drowning,50.0,15.0,NR,drama,BetteGordon,2017-05-10,2017-06-04,95.0
The Ottoman Lieutenant,19.0,51.0,R,history,JosephRuben,2017-03-10,2017-07-10,110.0
Kung-Fu Yoga,24.0,,NR,adventure,StanleyTong,2017-01-27,2017-06-20,107.0
Fun Mom Dinner,32.0,35.0,R,comedy,AletheaJones,2017-08-04,2017-08-04,81.0
Icarus,94.0,94.0,NR,documentary,BryanFogel,,2017-08-04,110.0
It's Not Yet Dark,95.0,62.0,NR,documentary,FrankieFenton,2017-08-04,2017-08-04,77.0
Some Freaks,92.0,71.0,NR,drama,IanMacAllisterMcDonald,2017-08-04,2017-08-04,97.0
Phoenix Forgotten,44.0,40.0,PG-13,scifi,JustinBarber,2017-04-21,2017-07-18,87.0
The Hunter's Prayer,33.0,23.0,R,action,JonathanMostow,2017-06-09,2017-08-08,91.0
The Hippopotamus,57.0,50.0,NR,comedy,JohnJencks,2017-06-15,2017-08-01,89.0
Naked,0.0,31.0,NR,comedy,MikeTiddes,,2017-08-13,96.0
Good Fortune,78.0,96.0,PG,documentary,"JoshTickell,RebeccaHarrellTickell",2017-06-22,2017-08-01,86.0
Chronically Metropolitan,40.0,38.0,NR,drama,XavierManrique,,2017-08-04,90.0
Armed Response,0.0,18.0,R,horror,JohnStockwell,,2017-07-09,93.0
Cut Shoot Kill,71.0,50.0,NR,horror,MichaelWalker,,2017-08-08,97.0
The Boss Baby,53.0,51.0,PG,adventure,TomMcGrath,2017-03-31,2017-07-04,97.0
Violet,84.0,56.0,NR,drama,BasDevos,2017-05-12,2018-11-17,82.0
Kong: Skull Island,75.0,69.0,PG-13,action,JordanVogt-Roberts,2017-03-10,2017-06-05,118.0
Ghost In The Shell,43.0,51.0,PG-13,scifi,RupertSanders,2017-03-31,2018-07-07,107.0
The Fate Of The Furious,67.0,72.0,PG-13,adventure,F.GaryGray,2017-04-14,2017-06-27,136.0
Spark: A Space Tail,14.0,35.0,PG,action,AaronWoodley,2017-04-14,2017-06-27,90.0
Gifted,73.0,85.0,PG-13,drama,MarcWebb,2017-04-12,2017-07-09,101.0
Buster's Mal Heart,70.0,56.0,NR,mysteryandthriller,SarahAdinaSmith,2017-04-28,2017-05-22,98.0
Free Fire,69.0,52.0,R,action,BenWheatley,2017-04-21,2017-07-04,86.0
A Quiet Passion,91.0,48.0,PG-13,biography,TerenceDavies,2017-04-14,2017-07-11,125.0
Unforgettable,28.0,33.0,R,mysteryandthriller,DeniseDiNovi,2017-04-21,2017-07-10,100.0
American Fable,75.0,40.0,NR,mysteryandthriller,AnneHamilton,2017-02-17,2017-07-12,96.0
The Lost City Of Z,87.0,57.0,PG-13,biography,JamesGray,2017-04-21,2017-06-27,141.0
The Final Master,65.0,61.0,NR,sportsandfitness,XuHaofeng,2016-06-03,2017-07-25,109.0
Tommy's Honour,67.0,68.0,PG,biography,JasonConnery,2017-04-14,2017-06-30,112.0
Seoul Station,100.0,37.0,NR,horror,Sang-hoYeon,,2017-06-01,92.0
Message From The King,45.0,50.0,R,action,FabriceduWelz,,2017-08-04,102.0
The Promise,51.0,92.0,PG-13,history,TerryGeorge,2017-04-21,2017-07-04,134.0
House On Willow Street,55.0,80.0,NR,horror,AlastairOrr,2017-03-24,2017-03-25,90.0
The Incredible Jessica James,88.0,65.0,NR,comedy,JamesC.Strouse,,2017-07-29,85.0
Black Butterfly,40.0,41.0,R,mysteryandthriller,BrianGoodman,2017-05-26,2017-05-26,93.0
To The Bone,72.0,64.0,NR,drama,MartiNoxon,,2017-07-15,107.0
Chasing Coral,100.0,89.0,NR,documentary,JeffOrlowski,,2017-07-15,93.0
Killing Ground,75.0,45.0,NR,horror,DamienPower,2017-07-21,2017-07-21,88.0
Resident Evil: Vendetta,43.0,47.0,R,horror,TakanoriTsujimoto,2017-06-19,2017-06-20,97.0
First Kill,15.0,24.0,R,action,StevenC.Miller,2017-07-21,2017-07-21,97.0
The Gracefield Incident,10.0,16.0,PG-13,horror,MathieuRatthe,2017-07-21,2017-07-21,89.0
The Savage Innocents,69.0,74.0,NR,adventure,NicholasRay,,2017-02-11,110.0
Smurfs: The Lost Village,40.0,54.0,PG,animation,KellyAsbury,2017-04-07,2017-06-20,91.0
Absolutely Anything,18.0,31.0,R,scifi,TerryJones,2017-05-12,2017-06-27,85.0
Saban's Power Rangers,49.0,65.0,PG-13,adventure,DeanIsraelite,2017-03-24,2017-06-13,124.0
Dying To Know: Ram Dass & Timothy Leary,78.0,83.0,NR,history,GayDillingham,,2017-06-01,99.0
Admiral (Michiel De Ruyter),67.0,81.0,NR,biography,RoelReiné,2016-03-11,2017-03-11,122.0
Song To Song,44.0,36.0,R,music,TerrenceMalick,2017-03-17,2017-06-27,129.0
Okja,86.0,81.0,NR,mysteryandthriller,Joon-hoBong,2017-06-28,2017-06-30,118.0
Wilson,47.0,30.0,R,comedy,CraigJohnson,2017-03-24,2017-06-20,94.0
CHIPS,18.0,45.0,R,action,DaxShepard,2017-03-24,2017-06-05,101.0
Awakening The Zodiac,42.0,33.0,R,mysteryandthriller,JonathanWright,2017-06-09,2018-11-27,100.0
Dirty Dancing,19.0,16.0,TVPG,drama,WayneBlair,,2017-05-22,138.0
Rainbow Time,67.0,48.0,NR,drama,LinasPhillips,2016-11-04,2016-11-01,91.0
Love At First Child (Ange Et Gabrielle),57.0,36.0,NR,comedy,AnneGiafferi,,2017-07-12,91.0
Vincent N Roxxy,41.0,66.0,R,crime,GaryMichaelSchultz,2017-06-02,2017-06-03,110.0
T2 Trainspotting,81.0,78.0,R,drama,DannyBoyle,2017-03-17,2017-06-13,117.0
Correspondence (La Corrispondenza),14.0,36.0,NR,mysteryandthriller,GiuseppeTornatore,,2017-06-27,116.0
The Zookeeper's Wife,63.0,76.0,PG-13,biography,NikiCaro,2017-03-31,2017-06-20,125.0
The Belko Experiment,53.0,40.0,R,horror,GregMcLean,2017-03-17,2017-06-13,90.0
The Autopsy Of Jane Doe,87.0,70.0,R,horror,AndréØvredal,2016-12-21,2017-05-02,86.0
Railroad Tigers,38.0,46.0,NR,adventure,ShengDing,2017-01-06,2017-05-09,124.0
Everybody Loves Somebody,89.0,70.0,PG-13,romance,CatalinaAguilarMastretta,2017-02-17,2017-06-20,101.0
Legion Of Brothers,100.0,66.0,NR,documentary,GregBarker,2017-05-19,2017-06-27,79.0
Berlin Syndrome,75.0,53.0,R,mysteryandthriller,CateShortland,2017-05-26,2017-05-26,116.0
This Beautiful Fantastic,61.0,75.0,PG,drama,SimonAboud,2017-03-10,2017-06-20,92.0
2:22,22.0,38.0,PG-13,mysteryandthriller,PaulCurrie,2017-06-30,2017-06-30,99.0
Drone,27.0,25.0,NR,action,JasonBourque,2017-05-26,2017-05-26,91.0
Hearing Is Believing,60.0,92.0,NR,music,LorenzoDeStefano,2017-06-16,2017-06-20,104.0
"Can't Stop, Won't Stop: A Bad Boy Story",44.0,44.0,NR,music,DanielKaufman,2017-06-23,2017-07-11,80.0
The Killer Is Loose,60.0,37.0,NR,mysteryandthriller,BuddBoetticher,1956-03-02,2016-09-01,73.0
The Lego Batman Movie,90.0,80.0,PG,action,ChrisMcKay,2017-02-10,2017-05-19,106.0
Beauty And The Beast,71.0,80.0,PG,fantasy,BillCondon,2017-03-17,2017-06-06,129.0
No Stranger Than Love,7.0,16.0,R,fantasy,NickWernham,2016-06-17,2016-06-17,89.0
A Cure For Wellness,42.0,41.0,R,horror,GoreVerbinski,2017-02-17,2017-05-31,140.0
Growing Up Smith (Good Ol' Boy),73.0,81.0,PG-13,drama,FrankLotito,2017-02-03,2017-05-02,102.0
3 Generations,32.0,44.0,PG-13,drama,GabyDellal,2017-05-05,2017-06-13,94.0
Land Of Mine (Under Sandet),92.0,88.0,R,history,MartinZandvliet,2017-02-17,2017-06-06,100.0
Aftermath,42.0,25.0,R,mysteryandthriller,ElliottLester,2017-04-07,2017-04-07,92.0
Alone In Berlin,57.0,50.0,R,history,VincentPerez,2017-01-13,2017-06-11,103.0
John Wick: Chapter 2,89.0,85.0,R,action,ChadStahelski,2017-02-10,2017-05-22,122.0
Life,67.0,54.0,R,scifi,DanielEspinosa,2017-03-24,2017-06-02,103.0
The Ticket,51.0,30.0,NR,drama,IdoFluk,2017-04-07,2017-04-07,98.0
Table 19,25.0,40.0,PG-13,drama,JeffreyBlitz,2017-03-03,2017-06-05,87.0
A United Kingdom,84.0,76.0,PG-13,biography,AmmaAsante,2017-02-10,2017-05-22,111.0
The Sense Of An Ending,75.0,51.0,PG-13,drama,RiteshBatra,2017-03-10,2017-05-23,108.0
Mine,17.0,45.0,NR,mysteryandthriller,"FabioGuaglione,FabioResinaro",2017-04-07,2019-06-20,107.0
The Assignment,33.0,21.0,R,action,WalterHill,2017-04-07,2017-04-07,96.0
Operation Mekong,80.0,60.0,NR,adventure,DanteLam,2016-09-30,2017-05-02,124.0
Headshot,73.0,57.0,NR,action,"TimoTjahjanto,KimoStamboel",2017-03-03,2017-03-03,118.0
Voice From The Stone,38.0,33.0,R,horror,EricD.Howell,2017-04-28,2017-04-28,94.0
All Nighter,14.0,35.0,R,comedy,GavinWiesen,2017-03-17,2017-03-24,86.0
Bitter Harvest,15.0,67.0,R,history,GeorgeMendeluk,2017-02-24,2017-06-13,103.0
The Last Word,40.0,64.0,R,drama,MarkPellington,2017-03-03,2017-05-16,108.0
Un Padre No Tan Padre,75.0,86.0,PG-13,comedy,RaúlMartínez,2017-01-27,2017-06-13,94.0
Enter The Warriors Gate (Warrior's Gate),50.0,43.0,PG-13,fantasy,MatthiasHoene,2017-05-05,2017-05-05,108.0
Journey To The West: The Demons Strike Back,58.0,49.0,PG-13,fantasy,HarkTsui,2017-02-03,2017-06-06,109.0
Be Afraid,17.0,30.0,NR,scifi,DrewGabreski,,2017-06-04,99.0
Shimmer Lake,60.0,58.0,TVMA,crime,OrenUziel,,2017-06-09,87.0
"Oh, Hello On Broadway",88.0,81.0,NR,nan,MichaelJohnWarren,,,
Willard,57.0,38.0,PG,horror,DanielMann,,2017-05-16,95.0
Tough Guys,57.0,55.0,PG,comedy,JeffKanew,,2016-03-22,103.0
Ben,67.0,39.0,PG,mysteryandthriller,PhilKarlson,,2017-05-16,93.0
XXx: Return Of Xander Cage,45.0,37.0,PG-13,adventure,D.J.Caruso,2017-01-20,2017-05-02,102.0
Resident Evil: The Final Chapter,37.0,48.0,R,horror,PaulW.S.Anderson,2017-01-27,2017-05-03,102.0
Logan,93.0,90.0,R,adventure,JamesMangold,2017-03-03,2017-05-16,137.0
Collide,23.0,34.0,PG-13,action,EranCreevy,2017-02-24,2017-05-16,94.0
Welcome To Happiness,31.0,57.0,PG-13,fantasy,OliverThompson,,2016-06-01,108.0
Dheepan,87.0,82.0,R,drama,JacquesAudiard,2016-05-06,2016-11-30,110.0
War Machine,48.0,34.0,TVMA,war,DavidMichôd,,2017-06-03,122.0
The Shack,21.0,77.0,PG-13,drama,StuartHazeldine,2017-03-03,2017-05-16,132.0
The Commune (Kollektivet),71.0,60.0,NR,drama,ThomasVinterberg,2017-05-19,2017-05-19,112.0
The Blackcoat's Daughter (February),72.0,49.0,R,horror,OzPerkins,2017-03-31,2017-03-28,93.0
The Space Between Us,16.0,54.0,PG-13,adventure,PeterChelsom,2017-02-03,2017-05-02,120.0
Fist Fight,24.0,40.0,R,comedy,RichieKeen,2017-02-17,2017-05-16,91.0
The Great Wall,36.0,42.0,PG-13,action,YimouZhang,2017-02-17,2017-05-09,104.0
Between Us,50.0,34.0,NR,drama,RafaelPalacioIllingworth,2017-01-06,2017-05-17,93.0
Bad Rap,70.0,77.0,NR,documentary,SalimaKoroma,,2017-05-25,82.0
AWOL,93.0,57.0,NR,drama,DebShoval,,2017-05-23,85.0
My Life As A Zucchini (Ma Vie De Courgette),99.0,89.0,PG-13,animation,ClaudeBarras,2017-02-24,2017-05-11,66.0
Before I Fall,65.0,56.0,PG-13,drama,RyRusso-Young,2017-03-03,2017-05-16,100.0
Rock Dog,47.0,47.0,PG,music,AshBrannon,2017-02-24,2017-05-09,90.0
Get Out,98.0,86.0,R,horror,JordanPeele,2017-02-24,2017-05-09,104.0
Mommy Dead And Dearest,100.0,87.0,NR,documentary,ErinLeeCarr,,2018-08-25,82.0
XX,70.0,19.0,R,horror,"JovankaVuckovic,St.Vincent,RoxanneBenjamin,KarynKusama",2017-02-17,2017-02-17,81.0
I Am Heath Ledger,86.0,84.0,NR,documentary,"DerikMurray,AdrianBuitenhuls",,2017-05-25,90.0
96 Souls,0.0,95.0,NR,scifi,StanleyJacobs,2017-05-26,2017-06-01,112.0
Rings,8.0,23.0,PG-13,horror,F.JavierGutiérrez,2017-02-03,2017-04-21,97.0
A Fantastic Fear Of Everything,34.0,35.0,R,comedy,"CrispianMills,ChrisHopewell",2014-02-07,2016-08-10,99.0
Black Rose,22.0,15.0,NR,action,AlexanderNevsky,2017-04-28,2017-05-13,83.0
Fifty Shades Darker,11.0,48.0,R,drama,JamesFoley,2017-02-10,2017-04-25,118.0
La La Land,91.0,81.0,PG-13,drama,DamienChazelle,2016-12-25,2017-04-11,128.0
Gold,42.0,45.0,R,adventure,StephenGaghan,2017-01-27,2017-04-20,120.0
Urban Hymn,58.0,76.0,NR,music,MichaelCaton-Jones,2017-05-12,2017-05-22,114.0
Camino,32.0,20.0,NR,adventure,JoshC.Waller,2016-03-04,2017-02-27,104.0
A Dog's Purpose,35.0,73.0,PG,comedy,LasseHallström,2017-01-27,2017-04-18,120.0
The Bye Bye Man,19.0,22.0,PG-13,horror,StacyTitle,2017-01-13,2017-03-28,96.0
A Street Cat Named Bob,77.0,76.0,NR,biography,RogerSpottiswoode,2016-11-18,2017-01-17,103.0
Things To Come (L'avenir),99.0,70.0,PG-13,drama,MiaHansen-Løve,2016-12-02,2017-05-01,101.0
The Last Heist,20.0,12.0,NR,action,MikeMendez,2016-06-17,2016-06-17,84.0
The Red Turtle (La Tortue Rouge),93.0,80.0,PG,adventure,MichaelDudokdeWit,2017-01-20,2017-05-02,80.0
The Salesman (Forushande),96.0,84.0,PG-13,mysteryandthriller,AsgharFarhadi,2017-01-27,2017-05-02,125.0
Dying Laughing,85.0,29.0,NR,documentary,"LloydStanton,PaulToogood",2017-02-24,2017-04-04,89.0
Beyond The Gates,83.0,29.0,NR,horror,JacksonStewart,2016-12-09,2017-05-02,84.0
Operation Chromite,40.0,52.0,NR,drama,JohnH.Lee,2016-08-12,2017-03-23,115.0
Mom And Me,100.0,44.0,NR,documentary,KenWardrop,,2017-05-22,77.0
The Resurrection Of Gavin Stone,50.0,83.0,PG,drama,DallasJenkins,2017-01-20,2017-04-11,92.0
Hounds Of Love,88.0,69.0,NR,crime,BenYoung,2017-05-12,2017-05-12,108.0
I Am Not Your Negro,99.0,83.0,PG-13,documentary,RaoulPeck,2017-02-03,2017-05-02,95.0
The Void,78.0,47.0,NR,horror,"JeremyGillespie,StevenKostanski",2017-04-07,2017-05-03,90.0
Rupture,18.0,16.0,NR,scifi,StevenShainberg,2017-04-28,2017-04-28,102.0
The Comedian,24.0,28.0,R,drama,TaylorHackford,2017-02-03,2017-05-02,120.0
Dead Awake,20.0,17.0,NR,horror,PhillipGuzman,2017-05-12,2017-05-12,99.0
Get Me Roger Stone,88.0,83.0,NR,documentary,"MorganPehme,DanielDiMauro,DylanBank",2017-05-12,2017-05-12,100.0
