Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Measure For Measure,33.0,80.0,NR,drama,PaulIreland,,2020-09-04,107.0
H Is For Happiness,76.0,,NR,drama,JohnSheedy,,2020-09-18,98.0
I Am Woman,64.0,71.0,NR,biography,UnjooMoon,2020-09-11,2020-09-11,117.0
House Of Cardin,92.0,,NR,documentary,"P.DavidEbersole,ToddHughes",2020-08-28,2020-09-13,98.0
Entwined,63.0,,NR,horror,MinosNikolakakis,2020-08-28,2020-09-08,89.0
Nail In The Coffin: The Fall And Rise Of Vampiro,100.0,,NR,documentary,MichaelPaszt,,2020-09-08,88.0
Luz: The Flower Of Evil,100.0,,NR,fantasy,JuanDiegoEscobarAlzate,,2020-09-15,104.0
Alive,78.0,,NR,horror,RobGrant,2020-09-18,2020-09-18,91.0
Antebellum,28.0,55.0,R,mysteryandthriller,"GerardBush,ChristopherRenz",,2020-09-18,106.0
Feels Good Man,96.0,,NR,documentary,ArthurJones,2020-09-04,2020-09-04,92.0
Toss It,71.0,,NR,drama,MicheleRemsen,,2019-09-19,117.0
Critical Thinking,93.0,,NR,drama,JohnLeguizamo,2020-09-04,2020-09-04,117.0
Teenage Badass,67.0,100.0,NR,comedy,GrantMcCord,,2020-09-18,
Rent-A-Pal,67.0,74.0,NR,mysteryandthriller,JonStevenson,2020-09-11,2020-09-11,108.0
Red Shoes And The Seven Dwarfs,40.0,80.0,PG,action,Sung-hoHong,,2020-09-14,92.0
I've Got Issues,57.0,,NR,drama,SteveCollins,,2020-09-15,93.0
The Argument,71.0,33.0,NR,comedy,RobertSchwartzman,2020-09-04,2020-09-04,81.0
Up On The Glass,50.0,100.0,NR,mysteryandthriller,KevinDelPrincipe,,2020-09-08,96.0
DTF,67.0,,NR,documentary,AlBailey,2020-09-15,2020-09-15,85.0
Alone,94.0,58.0,R,mysteryandthriller,JohnHyams,2020-09-18,2020-09-18,98.0
Range Runners,20.0,80.0,NR,mysteryandthriller,PhilipS.Plowden,,2020-09-07,111.0
The Owners,64.0,31.0,NR,mysteryandthriller,JuliusBerg,2020-09-04,2020-09-04,92.0
No Escape (Follow Me),20.0,60.0,R,horror,WillWernick,,2020-09-18,91.0
Cats & Dogs 3: Paws Unite!,14.0,28.0,PG,adventure,SeanMcNamara,,2020-07-30,84.0
Murder In The Woods,82.0,65.0,R,horror,LuisIga,2020-08-14,2020-09-18,90.0
Summerland,88.0,82.0,NR,comedy,"KurtisDavidHarder,NoahKentis",,2020-09-14,
American Street Kid,83.0,95.0,NR,documentary,MichaelLeoni,,2020-08-21,104.0
Ravage,67.0,,NR,horror,TeddyGrennan,2020-08-14,2020-08-21,77.0
Bill & Ted Face The Music,82.0,72.0,PG-13,adventure,DeanParisot,2020-08-28,2020-09-01,91.0
Open 24 Hours,40.0,41.0,NR,horror,PadraigReynolds,,2020-08-16,97.0
The Prey,73.0,,NR,action,JimmyHenderson,2020-08-21,2020-08-21,90.0
Sometimes Always Never (Triple Word Score),83.0,,PG-13,drama,CarlHunter,2020-03-06,2020-07-09,91.0
Benjamin,89.0,,NR,romance,SimonAmstell,2020-08-25,2020-08-25,85.0
Cane River,100.0,38.0,NR,romance,HoraceJenkins,,2020-07-06,90.0
Pariah Dog,100.0,100.0,NR,documentary,JesseAlk,,2020-08-18,77.0
Children Of The Sea (Kaijû No Kodomo),61.0,63.0,NR,fantasy,AyumuWatanabe,,2020-08-30,110.0
Desert One,94.0,,NR,documentary,BarbaraKopple,2020-08-21,2020-08-21,107.0
Watch List,100.0,,NR,crime,BenRekhi,2020-08-21,2020-09-01,94.0
Tesla,60.0,43.0,PG-13,biography,MichaelAlmereyda,2020-08-21,2020-08-19,102.0
"Bloody Nose, Empty Pockets",91.0,83.0,NR,documentary,"BillRossIV,TurnerRoss",,2020-09-01,98.0
The Mole Agent,95.0,,NR,documentary,MaiteAlberdi,2020-01-25,2020-08-29,90.0
Fatima,62.0,94.0,PG-13,history,MarcoPontecorvo,2020-08-28,2020-08-28,113.0
Followed,71.0,48.0,R,horror,AntoineLe,2020-06-19,2020-09-01,97.0
The 24th,78.0,,NR,history,KevinWillmott,2020-08-21,2020-08-21,113.0
You Cannot Kill David Arquette,87.0,,R,documentary,"DavidDarg,PriceJames",2020-08-21,2020-08-28,90.0
The Surrogate,92.0,60.0,NR,drama,JeremyHersh,,2020-06-12,93.0
Centigrade,40.0,,NR,mysteryandthriller,BrendanWalsh,2020-08-28,2020-08-28,127.0
One Night In Bangkok,20.0,35.0,R,action,WychKaosayananda,,2020-08-23,105.0
The Pale Door,51.0,64.0,NR,horror,AaronB.Koontz,2020-08-21,2020-08-21,96.0
Tom Of Your Life,67.0,80.0,NR,scifi,JeremySklar,2020-09-01,2020-09-01,93.0
The Honeymoon Phase,89.0,,NR,horror,PhillipG.CarrollJr.,2020-08-21,2020-08-21,88.0
Rogue,71.0,,R,action,M.J.Bassett,2020-08-28,2020-08-28,90.0
The Vanished,15.0,,R,mysteryandthriller,PeterFacinelli,2020-08-21,2020-08-21,115.0
Hard Kill,0.0,69.0,R,action,MattEskandari,,2020-08-25,95.0
The Blech Effect,67.0,,NR,documentary,DavidGreenwald,,2020-08-25,
#Unfit: The Psychology Of Donald Trump,85.0,,NR,documentary,DanPartland,2020-08-28,2020-09-01,83.0
Immortal,88.0,97.0,NR,drama,RobMargolies,,2020-09-01,
Jazz On A Summer's Day,100.0,81.0,NR,music,BertStern,,2020-08-12,85.0
Le Week-End,89.0,56.0,R,drama,RogerMichell,2014-03-14,2016-08-10,93.0
Sweet Bean (An),84.0,86.0,NR,drama,NaomiKawase,2016-03-18,2016-08-10,113.0
